NAME,CODE,OPEN,HIGH,LOW,CLOSE
CHARTERLOGIS,531977, 3.48, 3.5, 3.35, 3.47
ASIAN PAINTS,500820, 2620.2, 2620.2, 2546.0, 2567.65
ADVENT COMP.,531429, 1.88, 1.95, 1.77, 1.94
BANNARI AMMA,532674, 65.3, 67.65, 62.75, 63.5
SAKSOFT LTD ,590051, 498.0, 498.0, 482.3, 487.4
PRAJ IND.LTD,522205, 248.0, 261.4, 244.7, 254.55
KANSAI NERO ,500165, 575.95, 596.55, 573.0, 591.9
SAGAR CEM.  ,502090, 725.6, 739.0, 722.4, 733.35
UNI OFF AUTO,523519, 2.34, 2.34, 2.34, 2.34
925SEFL22   ,936050, 300.25, 305.0, 300.25, 305.0
KG DENIM    ,500239, 33.05, 33.05, 31.05, 32.25
PWASML      ,531437, 23.6, 23.6, 22.1, 22.4
LAHOTI OVER.,531842, 14.1, 16.24, 13.57, 15.78
GAYAHWS     ,541546, 0.55, 0.55, 0.55, 0.55
WEPSOLN     ,532373, 16.95, 17.5, 16.8, 17.05
9MFL27      ,937409, 999.0, 999.0, 999.0, 999.0
GBFL        ,538787, 2.95, 3.0, 2.78, 3.0
ALKEM       ,539523, 2835.0, 2964.45, 2814.05, 2900.1
KONNDOR     ,532397, 3.25, 3.3, 3.25, 3.3
RAMCO INDS. ,532369, 287.0, 287.5, 268.0, 283.35
RIBA TEXTILS,531952, 52.5, 52.5, 50.3, 52.4
ALFRED HERB ,505216, 641.65, 641.65, 639.0, 639.0
BATA INDIA  ,500043, 1358.8, 1368.0, 1354.15, 1359.55
RELIGARE ENT,532915, 85.7, 92.1, 84.55, 89.7
PHARMAIDS PH,524572, 21.3, 21.35, 21.2, 21.35
COMPUAGE INF,532456, 17.85, 18.2, 17.45, 17.7
BHANSALI ENG,500052, 167.45, 169.4, 161.5, 164.15
HAPPSTMNDS  ,543227, 761.8, 764.8, 737.2, 746.0
SIMPLX INFRA,523838, 29.6, 30.4, 29.15, 29.8
RIDDHICORP  ,540590, 165.5, 165.6, 165.0, 165.6
RSYSTEMINT  ,532735, 123.1, 129.6, 120.25, 126.75
BACIL PHARMA,524516, 7.36, 7.36, 7.36, 7.36
KIRLOIL ENG ,533293, 188.65, 189.7, 181.0, 185.25
MARTIN BURN ,523566, 33.8, 34.4, 33.8, 34.4
IDBI BANK L ,500116, 36.95, 39.5, 36.75, 37.95
PRIMA IND.  ,531246, 17.6, 18.45, 17.6, 18.45
CENTURY EXT ,500083, 5.9, 6.0, 5.64, 5.79
SURYA ROSHNI,500336, 438.1, 466.95, 429.3, 457.3
RELIANCE    ,500325, 1919.7, 1937.9, 1908.15, 1919.75
HLEGLAS     ,522215, 2831.35, 2972.9, 2831.35, 2949.75
KANCHI      ,538896, 1075.0, 1150.0, 1040.0, 1141.75
BSLSENETFG  ,540008, 510.0, 550.0, 505.0, 550.0
LAKSHMI PREC,506079, 5.46, 5.46, 5.46, 5.46
FMNL        ,533296, 15.15, 15.15, 14.75, 14.8
848IRFC28C  ,972862, 1264174.23, 1264174.23, 1264174.23, 1264174.23
SNOWMAN     ,538635, 48.6, 50.4, 48.6, 49.65
SKP SECURE. ,531169, 40.2, 40.3, 40.2, 40.3
TINNARUBR   ,530475, 34.05, 34.05, 34.05, 34.05
WENDT(INDIA),505412, 3180.15, 3200.0, 3175.0, 3182.4
VIJAY SOLVEX,531069, 2028.1, 2028.1, 2028.1, 2028.1
INFOSYS LTD ,500209, 1337.35, 1343.7, 1328.0, 1341.6
SH.KARTHIK P,516106, 1.9, 1.9, 1.9, 1.9
HEERA ISPAT ,526967, 0.96, 0.96, 0.95, 0.95
ANKIT METAL ,532870, 1.06, 1.09, 1.05, 1.09
SEAMEC LTD  ,526807, 418.2, 443.75, 417.35, 426.25
T.N.STEEL TU,513540, 11.4, 11.41, 11.4, 11.41
MACHINO PLAS,523248, 91.2, 94.95, 80.0, 82.9
STEELCAST   ,513517, 132.6, 137.75, 132.0, 132.2
IFCI010811  ,972654, 26251.0, 26600.0, 26251.0, 26600.0
SAREL       ,534618, 67.35, 69.65, 64.0, 69.65
ACRYCIL LTD.,524091, 334.0, 352.0, 324.0, 343.5
KITEX GARMEN,521248, 97.7, 98.05, 96.9, 97.15
INDIAN OIL  ,530965, 92.2, 93.5, 91.8, 92.2
EVERLON SYN.,514358, 10.99, 10.99, 10.99, 10.99
INDOSTAR    ,541336, 304.95, 309.95, 298.0, 304.0
SOMDATT FIN ,511571, 18.0, 18.85, 18.0, 18.15
PRECISION EL,517258, 32.0, 32.0, 31.0, 31.0
MORGAN CRU  ,523160, 842.0, 844.0, 830.4, 841.7
EASTWEST    ,540006, 8.05, 8.8, 8.05, 8.49
BL KASHYAP  ,532719, 15.0, 15.8, 15.0, 15.65
SIEL FINANCL,532217, 6.43, 6.43, 6.43, 6.43
JAYIND      ,531323, 5.23, 5.23, 5.23, 5.23
RUDRA       ,539226, 28.55, 29.0, 28.55, 28.65
INTEGRA CAP.,531314, 11.48, 12.67, 11.47, 11.47
HIND.COMPOSI,509635, 290.2, 291.0, 280.95, 280.95
MINDTECK (I),517344, 51.75, 51.9, 51.4, 51.8
VANDANA     ,532090, 0.63, 0.63, 0.63, 0.63
SKIPPER     ,538562, 56.05, 56.05, 53.7, 54.7
ARSS INFRA  ,533163, 25.5, 26.7, 24.7, 24.85
NILKAMAL L  ,523385, 2026.95, 2106.1, 1966.0, 1988.8
KDLL        ,540385, 16.2, 16.2, 14.7, 14.75
MPHASIS LTD ,526299, 1762.3, 1779.0, 1736.15, 1749.75
RAMA PHOSPH ,524037, 129.05, 132.0, 127.1, 128.6
RSDFIN      ,539875, 31.5, 31.5, 31.5, 31.5
FILAT FASH  ,532022, 2.45, 2.45, 2.44, 2.44
TAMIL.NEWSPR,531426, 145.95, 146.85, 142.35, 143.05
RUPA & CO   ,533552, 295.85, 301.65, 290.7, 292.55
96IFL28     ,937455, 1006.0, 1006.0, 1005.0, 1005.44
HARDCASTLE  ,509597, 192.0, 199.5, 190.1, 198.95
SHIVALIK    ,539148, 682.0, 737.35, 676.0, 722.05
NBCC        ,534309, 43.9, 44.5, 42.65, 44.2
NUCLE.SOFT E,531209, 533.95, 533.95, 516.75, 520.4
KILBURN ENGG,522101, 23.9, 27.65, 23.5, 24.6
NAZARA      ,543280, 1822.0, 1822.0, 1769.55, 1788.65
SHILPA MEDIC,530549, 417.0, 444.9, 417.0, 441.15
TAMBOLI CAP ,533170, 48.35, 49.8, 48.35, 49.8
LONGVIEW TEA,526568, 10.5, 11.0, 10.0, 11.0
